Id,Rule Name,Product,Severity,Status,Confidence,Category,Is Pro Rule,Semgrep Autotriage Result,Semgrep Autotriage Reason,Semgrep File Risk Tag,Repository Name,Repository Url,Line Of Code Url,Semgrep Platform Link,Created At,Last Opened At,Branch,Triaged At,Triage Comment,Triage Reason,Rule Description
772975671,python.jwt.security.jwt-none-alg.jwt-python-none-alg,Code,High,Open,Medium,security,False,True positive,,User Authentication,Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress/blob/0ed062884b643b6143e0ef0c75ba079853cdc371/backend/routes/auth.py#L25,https://semgrep.dev/findings/REDACTED-772975671,2026-05-02 18:49:10.870055,2026-05-02 18:49:10.845471,refs/heads/main,,,,"Detected use of the 'none' algorithm in a JWT token. The 'none' algorithm assumes the integrity of the token has already been verified. This would allow a malicious actor to forge a JWT token that will automatically be verified. Do not explicitly use the 'none' algorithm. Instead, use an algorithm such as 'HS256'."
772975670,python.lang.security.audit.subprocess-shell-true.subprocess-shell-true,Code,High,Open,Medium,security,False,True positive,,,Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress/blob/0ed062884b643b6143e0ef0c75ba079853cdc371/backend/routes/media.py#L118,https://semgrep.dev/findings/REDACTED-772975670,2026-05-02 18:49:10.870039,2026-05-02 18:49:10.845466,refs/heads/main,,,,"Found 'subprocess' function 'run' with 'shell=True'. This is dangerous because this call will spawn the command using a shell process. Doing so propagates current shell settings and variables, which makes it much easier for a malicious actor to execute commands. Use 'shell=False' instead."
772975669,python.lang.security.dangerous-subprocess-use.dangerous-subprocess-use,Code,High,Open,Medium,security,False,True positive,,,Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress/blob/0ed062884b643b6143e0ef0c75ba079853cdc371/backend/routes/media.py#L118,https://semgrep.dev/findings/REDACTED-772975669,2026-05-02 18:49:10.870022,2026-05-02 18:49:10.845459,refs/heads/main,,,,Detected subprocess function 'run' with user controlled data. A malicious actor could leverage this to perform command injection. You may consider using 'shlex.escape()'.
772975668,python.sqlalchemy.security.sqlalchemy-execute-raw-query.sqlalchemy-execute-raw-query,Code,High,Open,Low,security,False,,,User Authentication,Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress/blob/0ed062884b643b6143e0ef0c75ba079853cdc371/backend/routes/auth.py#L54,https://semgrep.dev/findings/REDACTED-772975668,2026-05-02 18:49:10.870004,2026-05-02 18:49:10.845453,refs/heads/main,,,,"Avoiding SQL string concatenation: untrusted input concatenated with raw SQL query can result in SQL Injection. In order to execute raw query safely, prepared statement should be used. SQLAlchemy provides TextualSQL to easily used prepared statement with named parameters. For complex SQL composition, use SQL Expression Language or Schema Definition Language. In most cases, SQLAlchemy ORM will be a better option."
772975667,python.sqlalchemy.security.sqlalchemy-execute-raw-query.sqlalchemy-execute-raw-query,Code,High,Open,Low,security,False,,,User Authorization,Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress/blob/0ed062884b643b6143e0ef0c75ba079853cdc371/backend/routes/users.py#L86,https://semgrep.dev/findings/REDACTED-772975667,2026-05-02 18:49:10.869988,2026-05-02 18:49:10.845447,refs/heads/main,,,,"Avoiding SQL string concatenation: untrusted input concatenated with raw SQL query can result in SQL Injection. In order to execute raw query safely, prepared statement should be used. SQLAlchemy provides TextualSQL to easily used prepared statement with named parameters. For complex SQL composition, use SQL Expression Language or Schema Definition Language. In most cases, SQLAlchemy ORM will be a better option."
772975666,javascript.vue.security.audit.xss.templates.avoid-v-html.avoid-v-html,Code,Medium,Open,Low,security,False,,,,Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress/blob/0ed062884b643b6143e0ef0c75ba079853cdc371/frontend/src/views/PostEdit.vue#L71,https://semgrep.dev/findings/REDACTED-772975666,2026-05-02 18:49:10.869968,2026-05-02 18:49:10.845441,refs/heads/main,,,,Dynamically rendering arbitrary HTML on your website can be very dangerous because it can easily lead to XSS vulnerabilities. Only use HTML interpolation on trusted content and never on user-provided content.
772975665,python.django.security.injection.raw-html-format.raw-html-format,Code,Medium,Open,Medium,security,False,,,,Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress/blob/0ed062884b643b6143e0ef0c75ba079853cdc371/backend/routes/posts.py#L181,https://semgrep.dev/findings/REDACTED-772975665,2026-05-02 18:49:10.869942,2026-05-02 18:49:10.845435,refs/heads/main,,,,"Detected user input flowing into a manually constructed HTML string. You may be accidentally bypassing secure methods of rendering HTML by manually constructing HTML and this could create a cross-site scripting vulnerability, which could let attackers steal sensitive user data. To be sure this is safe, check that the HTML is rendered safely. Otherwise, use templates (`django.shortcuts.render`) which will safely render HTML instead."
772975664,python.flask.security.audit.app-run-param-config.avoid_app_run_with_bad_host,Code,Medium,Open,High,security,False,,,,Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress/blob/0ed062884b643b6143e0ef0c75ba079853cdc371/backend/app.py#L41,https://semgrep.dev/findings/REDACTED-772975664,2026-05-02 18:49:10.869926,2026-05-02 18:49:10.845429,refs/heads/main,,,,Running flask app with host 0.0.0.0 could expose the server publicly.
772975663,python.flask.security.audit.debug-enabled.debug-enabled,Code,Medium,Open,High,security,False,,,,Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress/blob/0ed062884b643b6143e0ef0c75ba079853cdc371/backend/app.py#L41,https://semgrep.dev/findings/REDACTED-772975663,2026-05-02 18:49:10.869908,2026-05-02 18:49:10.845423,refs/heads/main,,,,"Detected Flask app with debug=True. Do not deploy to production with this flag enabled as it will leak sensitive information. Instead, consider using Flask configuration variables or setting 'debug' using system environment variables."
772975662,python.flask.security.injection.raw-html-concat.raw-html-format,Code,Medium,Open,Medium,security,False,,,,Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress/blob/0ed062884b643b6143e0ef0c75ba079853cdc371/backend/routes/posts.py#L181,https://semgrep.dev/findings/REDACTED-772975662,2026-05-02 18:49:10.869891,2026-05-02 18:49:10.845418,refs/heads/main,,,,"Detected user input flowing into a manually constructed HTML string. You may be accidentally bypassing secure methods of rendering HTML by manually constructing HTML and this could create a cross-site scripting vulnerability, which could let attackers steal sensitive user data. To be sure this is safe, check that the HTML is rendered safely. Otherwise, use templates (`flask.render_template`) which will safely render HTML instead."
772975661,python.lang.security.audit.formatted-sql-query.formatted-sql-query,Code,Medium,Open,Low,security,False,,,User Authentication,Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress/blob/0ed062884b643b6143e0ef0c75ba079853cdc371/backend/routes/auth.py#L54,https://semgrep.dev/findings/REDACTED-772975661,2026-05-02 18:49:10.869875,2026-05-02 18:49:10.845412,refs/heads/main,,,,Detected possible formatted SQL query. Use parameterized queries instead.
772975660,python.lang.security.audit.md5-used-as-password.md5-used-as-password,Code,Medium,Open,Medium,security,False,,,User Authentication,Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress/blob/0ed062884b643b6143e0ef0c75ba079853cdc371/backend/routes/auth.py#L47,https://semgrep.dev/findings/REDACTED-772975660,2026-05-02 18:49:10.869857,2026-05-02 18:49:10.845405,refs/heads/main,,,,It looks like MD5 is used as a password hash. MD5 is not considered a secure password hash because it can be cracked by an attacker in a short amount of time. Use a suitable password hashing function such as scrypt. You can use `hashlib.scrypt`.
772975659,python.lang.security.audit.md5-used-as-password.md5-used-as-password,Code,Medium,Open,Medium,security,False,,,User Authentication,Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress/blob/0ed062884b643b6143e0ef0c75ba079853cdc371/backend/routes/auth.py#L130,https://semgrep.dev/findings/REDACTED-772975659,2026-05-02 18:49:10.869841,2026-05-02 18:49:10.845398,refs/heads/main,,,,It looks like MD5 is used as a password hash. MD5 is not considered a secure password hash because it can be cracked by an attacker in a short amount of time. Use a suitable password hashing function such as scrypt. You can use `hashlib.scrypt`.
772975658,python.lang.security.deserialization.pickle.avoid-pickle,Code,Medium,Open,Low,security,False,,,Superuser,Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress/blob/0ed062884b643b6143e0ef0c75ba079853cdc371/backend/routes/settings.py#L96,https://semgrep.dev/findings/REDACTED-772975658,2026-05-02 18:49:10.869823,2026-05-02 18:49:10.845390,refs/heads/main,,,,"Avoid using `pickle`, which is known to lead to code execution vulnerabilities. When unpickling, the serialized data could be manipulated to run arbitrary code. Instead, consider serializing the relevant data as JSON or a similar text-based serialization format."
772975657,python.flask.debug.debug-flask.active-debug-code-flask,Code,Low,Open,High,security,False,,,,Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress/blob/0ed062884b643b6143e0ef0c75ba079853cdc371/backend/app.py#L41,https://semgrep.dev/findings/REDACTED-772975657,2026-05-02 18:49:10.869766,2026-05-02 18:49:10.845366,refs/heads/main,,,,"The application is running debug code or has debug mode enabled. This may expose sensitive information, like stack traces and environment variables, to attackers. It may also modify application behavior, potentially enabling attackers to bypass restrictions. To remediate this finding, ensure that the application's debug code and debug mode are disabled or removed from the production environment."
